posicao,codigo_ibge,municipio,unidade_federativa,populacao,is_capital
3143,3528601,Manduri,São Paulo,9846,FALSE
3144,4100707,Alto Piquiri,Paraná,9836,FALSE
3145,2923902,Pau Brasil,Bahia,9831,FALSE
3146,3125903,Ferros,Minas Gerais,9820,FALSE
3147,2204808,Ipiranga do Piauí,Piauí,9811,FALSE
3148,3133600,Itapeva,Minas Gerais,9783,FALSE
3149,1702901,Axixá do Tocantins,Tocantins,9756,FALSE
3150,3532827,Nova Campina,São Paulo,9755,FALSE
3151,3112505,Capim Branco,Minas Gerais,9754,FALSE
3152,4217303,Saudades,Santa Catarina,9745,FALSE
3153,5205901,Corumbaíba,Goiás,9723,FALSE
3154,2906105,Canápolis,Bahia,9711,FALSE
3155,5205307,Cavalcante,Goiás,9709,FALSE
3156,5203559,Bonfinópolis,Goiás,9706,FALSE
3157,3503703,Ariranha,São Paulo,9668,FALSE
3158,5108055,Terra Nova do Norte,Mato Grosso,9667,FALSE
3159,1101203,Ministro Andreazza,Rondônia,9660,FALSE
3160,2401305,Campo Grande,Rio Grande do Norte,9655,FALSE
3161,3200136,Águia Branca,Espírito Santo,9642,FALSE
3162,2304269,Deputado Irapuan Pinheiro,Ceará,9625,FALSE
3163,2410405,Pureza,Rio Grande do Norte,9621,FALSE
3164,3542503,Reginópolis,São Paulo,9621,FALSE
3165,4123857,Santa Maria do Oeste,Paraná,9615,FALSE
3166,3126901,Frei Inocêncio,Minas Gerais,9611,FALSE
3167,5101308,Arenápolis,Mato Grosso,9607,FALSE
3168,2805109,Pedrinhas,Sergipe,9602,FALSE
3169,4304358,Candiota,Rio Grande do Sul,9584,FALSE
3170,4122602,Rondon,Paraná,9579,FALSE
3171,3148301,Paula Cândido,Minas Gerais,9571,FALSE
3172,3126208,Formoso,Minas Gerais,9562,FALSE
3173,2701506,Campo Grande,Alagoas,9558,FALSE
3174,2203453,Dom Inocêncio,Piauí,9556,FALSE
3175,1701002,Ananás,Tocantins,9549,FALSE
3176,2616100,Verdejante,Pernambuco,9534,FALSE
3177,3520202,Igaratá,São Paulo,9534,FALSE
3178,3137536,Lagoa Grande,Minas Gerais,9532,FALSE
3179,3519006,Herculândia,São Paulo,9526,FALSE
3180,5212808,Mara Rosa,Goiás,9503,FALSE
3181,3138658,Lontra,Minas Gerais,9496,FALSE
3182,5107941,Tabaporã,Mato Grosso,9489,FALSE
3183,3154507,Riacho dos Machados,Minas Gerais,9481,FALSE
3184,3100500,Açucena,Minas Gerais,9470,FALSE
3185,5103452,Denise,Mato Grosso,9462,FALSE
3186,1200344,Manoel Urbano,Acre,9459,FALSE
3187,5203906,Buriti Alegre,Goiás,9459,FALSE
3188,2516805,Triunfo,Paraíba,9455,FALSE
3189,4216107,São Domingos,Santa Catarina,9445,FALSE
